Column1;Column2;Column3;Column4;Column5
on;So;-;0.010638 0.034884;3
que;look;-;0.000943 0.031579;3
Fais;Bring;-;0.021898 0.014423;3
Gardez �a;Keep;-;1.000000 0.040541;3
diff�rence;difference between;-;0.007792 0.150000;3
mais;it;-;0.000490 0.001275;3
ai;some;-;0.001009 0.007874;3
Permettez;special;-;0.600000 0.107143;3
aime;having plenty;-;0.005566 0.300000;3
plus;he;-;0.002396 0.001394;3
dire;ended;-;0.009709 0.037975;3
n�gligence;carelessly dropped;-;0.100000 1.000000;3
commen�ai;beginning;-;0.230769 0.044118;3
rudement traiter;rough treatment;-;0.333333 0.750000;3
contr�les;sick;-;0.333333 0.025000;3
poss�de;owns;-;0.085714 1.000000;3
enfant;children;-;0.004076 0.002801;3
politique;Politics;-;0.034483 1.000000;3
�crits;prices;-;0.428571 0.230769;3
�tudions;sake;-;0.166667 0.081081;3
vertige;became dizzy;-;0.214286 1.000000;3
�pouvantable;dreadful dream;-;0.034483 0.176471;3
construit;Was;-;0.230769 0.214286;3
combat;acts;-;0.157895 1.000000;3
prends habituellement;usually;-;1.000000 0.015000;3
moi;can;-;0.002107 0.002639;3
personne;there;-;0.013953 0.005629;3
parle;talks well;-;0.005217 0.300000;3
amus�e;during;-;0.090909 0.083333;3
utile;useful animal;-;0.017442 0.142857;3
Tournez;Give;-;0.090909 0.006865;3
bless�es;injured;-;0.750000 0.428571;3
glac�e;Save;-;0.150000 0.076923;3
seconde;second helping;-;0.039474 1.000000;3
toutes;most;-;0.053571 0.042857;3
clair;painted;-;0.076923 0.019355;3
un bon;a;-;0.176471 0.000221;3
sentie humili�e;felt humiliated;-;0.130435 1.000000;3
saisir;seem;-;0.078947 0.073171;3
ne pas;do;-;0.011719 0.000737;3
fran�ais;speaking French;-;0.005618 1.000000;3
pr�s;size;-;0.050847 0.045455;3
bleue;calm;-;0.049180 0.142857;3
dis;said;-;0.023622 0.004552;3
Peux;make;-;0.019737 0.006652;3
�tait v�tue;dressed;-;0.600000 0.021898;3
bonne heure;early;-;0.600000 0.003279;3
se;people;-;0.004815 0.004065;3
Bob sait;Bob;-;1.000000 0.015707;3
quelqu'un;good person;-;0.008357 1.000000;3
Qu' es;What;-;0.375000 0.002318;3
un g�teau;a cake;-;0.500000 1.000000;3
souhaiterait;anyone else;-;0.428571 1.000000;3
fassiez;line;-;0.103448 0.075000;3
chanta mieux;sang better;-;0.750000 0.600000;3
l';this;-;0.001156 0.001240;3
affaire;Maybe;-;0.057692 0.038462;3
sans alcool;non-alcoholic;-;0.750000 0.060000;3
eu beaucoup;busy;-;0.750000 0.008646;3
produits laitiers;products;-;1.000000 0.028037;3
aie �tudi�;though;-;0.750000 0.073171;3
costume;cleaned;-;0.007143 0.043478;3
dans un;in a;-;0.142857 0.078947;3
bifteck sent;beefsteak;-;0.125000 0.120000;3
th�;have tea;-;0.000347 1.000000;3
tu;be;-;0.000995 0.002691;3
aussi;speak;-;0.009677 0.006369;3
quatre ans;four years;-;0.600000 0.250000;3
amus�es hier;yesterday;-;1.000000 0.001211;3
appr�ciait;living;-;0.375000 0.020134;3
occup�e;supper;-;0.017143 0.031915;3
r�ussir;pass;-;0.136364 0.023810;3
Sais;evil;-;0.090909 0.076923;3
me sens;feel well;-;0.058824 0.250000;3
allons;bazaar;-;0.088235 1.000000;3
probl�me;present;-;0.005310 0.031250;3
Assurez;Be;-;0.200000 0.069767;3
haricots;Our goose;-;0.066667 1.000000;3
bien et;and;-;1.000000 0.000174;3
vous une;you;-;0.500000 0.000334;3
rest� c�libataire;remained;-;0.250000 0.075000;3
morte;these;-;0.130435 0.007009;3
Savez;cook;-;0.040000 0.007126;3
Tom court;Tom runs;-;1.000000 0.750000;3
gravement malade;ill;-;1.000000 0.013761;3
beaux grands;beautiful;-;0.750000 0.013393;3
vit;apartment;-;0.046154 0.028571;3
papa;Mummy;-;0.107143 1.000000;3
style;regard;-;0.056604 0.333333;3
emp�cher;haircut;-;0.200000 0.036145;3
attrape;putting;-;0.036145 0.103448;3
porter;carried downstairs;-;0.093750 0.750000;3
�choua;entrance;-;0.375000 0.023622;3
quartier;seafood;-;0.063830 0.600000;3
cens�e aimer;supposed;-;0.333333 0.012346;3
s�para;divided;-;0.136364 0.050847;3
en;me;-;0.001471 0.000786;3
son;of his;-;0.002195 0.500000;3
amer;tastes sour;-;0.009554 0.063830;3
mis;set;-;0.043478 0.041667;3
combien;much;-;0.078947 0.008929;3
Entre dans;Come into;-;1.000000 0.103448;3
enfant;care;-;0.004076 0.013514;3
avec une;with;-;0.500000 0.000764;3
pas ?;?;-;1.000000 0.000028;3
�tudiant court;student runs;-;0.750000 0.300000;3
Pourquoi aimez;Why;-;1.000000 0.001382;3
approuv� �a;agreeing;-;1.000000 0.049180;3
th� au;tea;-;1.000000 0.000346;3
� un;a;-;0.375000 0.000221;3
de;from the;-;0.000369 0.300000;3
re�u;paid under;-;0.033708 0.750000;3
bagages;baggage brought;-;0.028846 1.000000;3
commence;hungry;-;0.041096 0.001851;3
aurais;anyways;-;0.038961 0.142857;3
vieille machine;machine;-;0.333333 0.016129;3
semblant;affects illness;-;0.036585 0.428571;3
Quand travaillez;practice;-;0.750000 0.022222;3
dormi r�cemment;slept;-;1.000000 0.016949;3
partage�mes;cost;-;0.200000 0.038961;3
restait;drank;-;0.214286 0.012146;3
devions;During;-;0.200000 0.136364;3
tellement;hot;-;0.056604 0.001815;3
Manger;eating;-;0.038462 0.010381;3
mauvais;afraid;-;0.012987 0.005102;3
bon;good at;-;0.004464 1.000000;3
En;any;-;0.009804 0.022222;3
Bien;Well done;-;0.015228 0.039474;3
potable;suitable;-;0.027523 0.176471;3
des;it;-;0.003906 0.001275;3
veste;Does;-;0.019108 0.021583;3
sauf;cheap;-;0.034483 0.022556;3
cheval court;Horses run;-;0.428571 0.333333;3
celui qui;who;-;0.600000 0.006289;3
fait;doing;-;0.000951 0.009740;3
plaint;complains;-;0.022727 0.075000;3
conna�tra-t;world;-;0.600000 0.004545;3
Voudriez;lending;-;0.013274 0.090909;3
faisant;broke;-;1.000000 0.023810;3
davantage;spend more;-;0.011905 0.750000;3
n';done;-;0.001761 0.009494;3
, il;you;-;0.036585 0.000334;3
dalle;'m;-;0.034483 0.003769;3
M�me;Even if;-;0.008876 1.000000;3
parce que;because;-;1.000000 0.003138;3
bois trop;drink too;-;0.750000 0.750000;3
ans;ago;-;0.002710 0.038462;3
nouvelle;becomes;-;0.028571 0.041667;3
remis;couple;-;1.000000 0.034483;3
Anne;weakness;-;0.076923 0.300000;3
lundi dernier;Monday;-;0.750000 0.039474;3
rencontr�rent enfin;At;-;1.000000 0.066667;3
Avant;Before buying;-;0.017442 1.000000;3
denr�e pr�cieuse;precious commodity;-;0.600000 1.000000;3
nia;stolen;-;0.014634 0.025424;3
appartient;gun belong;-;0.041096 0.500000;3
Pierre;cottage;-;0.068182 0.120000;3
voiture;drive;-;0.001337 0.024590;3
vue jouer;saw;-;1.000000 0.008310;3
fois;him;-;0.009063 0.001166;3
est;is your;-;0.000233 0.750000;3
trait�e;been cleaned;-;0.054545 0.600000;3
t�t;get;-;0.004016 0.007634;3
�pais;chill;-;0.166667 0.049180;3
mode;recent;-;0.063830 0.096774;3
liaison;internet connection;-;0.187500 0.214286;3
seconde;helping;-;0.039474 0.166667;3
�conomiser;save;-;0.166667 0.111111;3
d�sesp�r�ment;crying;-;1.000000 0.033708;3
conduisant;driving;-;1.000000 0.041096;3
Chinois;naps;-;0.066667 0.200000;3
th�s;Two teas;-;0.115385 0.120000;3
corriger;correct;-;0.500000 0.176471;3
ras;exclude;-;1.000000 1.000000;3
ouvre-t;club;-;0.157895 0.039474;3
parfaite;despair;-;0.375000 0.111111;3
rejet�e;rejected;-;0.750000 1.000000;3
voitures;Economy cars;-;0.008902 0.750000;3
Trace;circle;-;0.100000 0.050000;3
mise;instead;-;0.040541 0.056604;3
comme;it;-;0.006961 0.001275;3
par;The;-;0.004505 0.000642;3
de faire;to do;-;0.028571 0.012876;3
manger;not eat;-;0.001201 0.500000;3
habits;suit;-;0.250000 0.006772;3
ce;is this;-;0.001361 0.230769;3
beau;How fine;-;0.013333 1.000000;3
coucher;gone;-;0.005474 0.034884;3
devriez arr�ter;quit;-;0.500000 0.014634;3
Cela;hurt;-;0.024793 0.027027;3
ce;do you;-;0.001361 0.035714;3
cela;own;-;0.028302 0.022059;3
pr�dispos�;seen;-;0.750000 0.014851;3
peinture;paint spot;-;0.065217 0.750000;3
attendre longtemps;wait;-;0.272727 0.008197;3
avait tourn�;went sour;-;0.375000 0.333333;3
appr�cie;just fine;-;0.041667 1.000000;3
veille;previous day;-;0.037500 1.000000;3
sortait parfois;sometimes ate;-;0.187500 0.750000;3
verre;join;-;0.001800 0.038961;3
travail correctement;job;-;0.500000 0.010638;3
Qui l';Who did;-;1.000000 0.272727;3
devez;exercise;-;0.051724 0.005803;3
nombreux avantages;advantages;-;1.000000 0.100000;3
adviendra;comes;-;0.333333 0.100000;3
mauvaises nouvelles;Bad news;-;0.500000 0.300000;3
Je vais;'m OK;-;0.090909 0.111111;3
compl�tement;completely forget;-;0.014423 0.093750;3
faire;do is;-;0.000525 0.600000;3
l�gers exercices;exercise;-;1.000000 0.005803;3
amuse;care;-;0.500000 0.013514;3
que;done;-;0.000943 0.009494;3
vin rouge;red wine;-;0.272727 0.375000;3
Il;there;-;0.000186 0.005629;3
laisse;overeat;-;0.053571 1.000000;3
Peux;handing;-;0.019737 0.300000;3
entre;there;-;0.005952 0.005629;3
va;health;-;0.011494 0.001898;3
attraper;getting;-;0.016304 0.039474;3
le temps;time;-;0.750000 0.001668;3
connaissance;another;-;0.021277 0.010490;3
iras;Wo;-;0.333333 0.014851;3
gueule;held;-;1.000000 0.044118;3
aurais aim�;talk;-;0.125000 0.023810;3
chef militaire;military leader;-;1.000000 0.272727;3
Excusez;sorry;-;0.030000 0.006160;3
vue;somewhere;-;0.032258 0.046875;3
D�sirez;another;-;0.062500 0.010490;3
consid�re;master;-;0.750000 0.006061;3
Fumer tue;kills;-;0.023438 0.057692;3
sant�;healthy;-;0.001901 0.049180;3
sal�e;salt;-;0.011494 0.002191;3
cercle ouvre-t;club open;-;0.428571 0.500000;3
dehors;totally;-;0.016949 0.750000;3
N' essaie;try;-;0.333333 0.017857;3
Qu';actually;-;0.005190 0.107143;3
chose pareille;thing;-;1.000000 0.010274;3
pr�parer;make;-;0.017341 0.006652;3
fleurs;blossoms;-;0.006342 0.230769;3
avis;follow;-;0.096774 0.058824;3
maladie;illness;-;0.125000 0.250000;3
t�l�phone portable;mobile;-;1.000000 0.200000;3
�cout�e;worth listening;-;0.214286 1.000000;3
demi-heure;hour;-;0.333333 0.028302;3
entendant;burst;-;0.600000 0.038961;3
mot;incredulous;-;0.008746 0.300000;3
devint;air became;-;0.081081 0.250000;3
debout;standing near;-;0.078947 0.250000;3
entreprise;bankrupt;-;0.021739 0.023438;3
crois;fancy;-;0.029703 0.750000;3
allons;eat;-;0.088235 0.001257;3
faim .;.;-;0.166667 0.000004;3
imm�diatement;Let;-;0.021898 0.016854;3
fin approche;nigh;-;1.000000 0.023438;3
faire ,;do;-;0.500000 0.000737;3
promets;promise;-;0.200000 0.011029;3
fusil;gun belong;-;0.037037 0.500000;3
traverse;cross;-;0.300000 0.300000;3
parlaient;difficulty understanding;-;0.500000 0.750000;3
chamade;beating;-;0.375000 0.053571;3
sp�ciale;delayed;-;0.428571 1.000000;3
espion essayant;spy;-;1.000000 0.090909;3
Descendez;straight;-;0.428571 0.300000;3
pluvieux;Election;-;0.600000 0.750000;3
oublie;forgeting;-;0.005172 0.157895;3
noir;dark outside;-;0.004959 0.060000;3
joue tr�s;plays;-;0.272727 0.006881;3
Et maintenant;So;-;0.375000 0.034884;3
pouvais;bite;-;0.028571 0.042857;3
as;'ve;-;0.012195 0.012821;3
Cette;good;-;0.004161 0.002331;3
choses;simply;-;0.002039 0.038961;3
ferais;used;-;0.029412 0.021898;3
effet rapidement;act;-;0.375000 0.081081;3
courant;speed;-;0.115385 0.068182;3
eu;fill;-;0.035294 0.026549;3
promenade;custom;-;0.011407 0.300000;3
populaire;popular among;-;0.021898 0.333333;3
aimait;towards;-;0.045455 0.600000;3
rouge l';red;-;1.000000 0.000767;3
estomac me;stomach hurts;-;1.000000 0.125000;3
Fumer;harmful;-;0.003628 0.068182;3
gants gardaient;gloves kept;-;0.166667 1.000000;3
d�licieuse soupe;soup;-;0.250000 0.001252;3
sombre;gets dark;-;0.011029 0.428571;3
foutre;Go fuck;-;0.034483 0.600000;3
capacit�;business;-;0.107143 0.043478;3
mang� parce;ate;-;1.000000 0.014778;3
en;good;-;0.001471 0.002331;3
les;met;-;0.002967 0.001381;3
festival lors;festival;-;1.000000 0.157895;3
6;rule;-;0.083333 0.007092;3
hier;night;-;0.001238 0.003021;3
acheter;glad;-;0.005505 0.025424;3
soldat dirigea;soldier;-;0.300000 0.038961;3
Am�ricain;American;-;0.272727 0.055556;3
timide;courage;-;0.050847 0.041096;3
compose;usual;-;0.130435 0.083333;3
taper;type;-;1.000000 0.157895;3
donnais;fed;-;1.000000 0.052632;3
quitta;dad;-;0.063830 0.166667;3
jamais;a;-;0.001079 0.000221;3
connaissent;other;-;0.090909 0.009554;3
pr�c�dent;before;-;0.065217 0.001212;3
supporte;stand;-;0.047619 0.021898;3
go�te;woman;-;0.093750 0.013158;3
pas;have to;-;0.000328 0.078947;3
fonctionne;work;-;0.051724 0.002976;3
baisser;sent;-;0.428571 0.024000;3
conna�t;Apart;-;0.018072 0.075000;3
�tant;Since;-;0.333333 0.071429;3
Affaire;taste;-;0.130435 0.009174;3
savoir si;if;-;1.000000 0.003456;3
d�tourn� lorsque;away;-;0.500000 0.050847;3
- vous;Have;-;0.013100 0.011407;3
.;bicycle .;-;0.000004 1.000000;3
lourde;heavier than;-;0.019737 1.000000;3
proposition s�rieuse;offer;-;0.120000 0.022059;3
Ma;mum;-;0.004213 0.750000;3
m' accompagna;accompanied;-;1.000000 0.010101;3
m�re pr�pare;mother makes;-;0.500000 1.000000;3
personnes;many people;-;0.016575 0.600000;3
d' eau;The;-;0.029412 0.000642;3
mieux;nothing;-;0.002521 0.002660;3
sucre;much sugar;-;0.001142 1.000000;3
dire;may;-;0.009709 0.019737;3
croire;makes believe;-;0.024793 1.000000;3
avaient faim;hungry;-;0.375000 0.001851;3
jours;these days;-;0.009868 0.375000;3
moi;to me;-;0.002107 0.230769;3
et une;and;-;1.000000 0.000174;3
pas;n't know;-;0.000328 0.272727;3
pas te;n't;-;1.000000 0.000333;3
devrions;guess;-;0.093750 0.054545;3
beaucoup;made;-;0.003963 0.004274;3
ont;and;-;0.019108 0.000174;3
courses;went shopping;-;0.005629 0.500000;3
connais fort;very;-;0.300000 0.000617;3
sorti manger;went out;-;0.375000 0.230769;3
Ta voix;Your voice;-;0.187500 1.000000;3
�coute;carefully;-;0.015707 0.033333;3
de;get;-;0.000369 0.007634;3
De;As;-;0.061224 0.018182;3
identit�;any ID;-;0.026549 1.000000;3
petit-d�jeuner;What;-;0.003468 0.002318;3
vais;say;-;0.005300 0.018519;3
�;'s;-;0.036585 0.001785;3
ne;her;-;0.000896 0.002994;3
beaucoup;a lot;-;0.003963 0.333333;3
quel;By;-;0.085714 0.021127;3
adore;bottom;-;0.017544 0.040000;3
pr�vois;tonight;-;0.040541 0.007712;3
devint;warm;-;0.081081 0.018072;3
refaire capitonner;sofa reupholstered;-;0.107143 0.750000;3
crois;says;-;0.029703 0.088235;3
magasins;inexpensive;-;0.050847 0.300000;3
connaissiez;each;-;0.375000 0.031579;3
quoi;know what;-;0.011811 0.083333;3
tes;already;-;0.033333 0.005725;3
jour;every;-;0.002814 0.006579;3
arrivons maintenant;point;-;0.600000 0.049180;3
besoin urgent;urgent;-;0.230769 0.018072;3
poign�e;firm handshake;-;0.081081 0.750000;3
demie heure;30 minutes;-;0.750000 0.500000;3
ai;me;-;0.001009 0.000786;3
ses;has;-;0.011538 0.004975;3
wagon-restaurant;dining car;-;0.115385 1.000000;3
apporte seulement;alone;-;0.600000 0.010033;3
mieux;to;-;0.002521 0.000340;3
chantait;pretty;-;0.043478 0.026786;3
oublie;remembers;-;0.005172 0.136364;3
chat;cat instead;-;0.001466 0.375000;3
Quel;favorite;-;0.027778 0.013761;3
de la;of the;-;0.020548 0.050847;3
Faites bouillir;Bring;-;0.272727 0.014423;3
rivi�re;river flows;-;0.009901 0.157895;3
aimerais;eat;-;0.009709 0.001257;3
y;will;-;0.001735 0.007772;3
oiseau;bird told;-;0.000732 1.000000;3
que;else;-;0.000943 0.032258;3
URSS;Soviet Socialist;-;0.230769 1.000000;3
commenc�;myself;-;0.021583 0.017241;3
go�t atroce;tastes horrible;-;0.750000 0.500000;3
tomb�e gravement;became;-;0.600000 0.037037;3
Ceci;office;-;0.103448 0.034884;3
Avez;have;-;0.023622 0.001260;3
saisir;taken;-;0.078947 0.096774;3
heures .;.;-;1.000000 0.000004;3
il;How;-;0.001045 0.003546;3
cette chemise;this shirt;-;1.000000 1.000000;3
Excusez;kept;-;0.030000 0.045455;3
avions simplement;simply;-;1.000000 0.038961;3
aiment;Cats;-;0.125000 0.013889;3
enseigne;20;-;0.021583 0.500000;3
transpire;sweat;-;0.500000 0.032258;3
aliments �vitez;foods;-;0.750000 0.025424;3
trouvait;besides;-;0.500000 0.200000;3
parvenir;ship;-;0.250000 0.085714;3
coop�rative;cooperative society;-;0.375000 1.000000;3
m�tier;either;-;0.111111 0.019608;3
�cart�es;wide;-;0.375000 0.375000;3
suspendis;hung;-;0.600000 0.107143;3
trimestre;former;-;1.000000 0.500000;3
Afin;monitored;-;0.600000 0.214286;3
Hey Pandark;Hey Pandark;-;1.000000 1.000000;3
faisais;nap;-;0.157895 0.031250;3
caract�res;bold letters;-;0.375000 1.000000;3
cerisiers;trees;-;0.039474 0.011628;3
horaire;schedule;-;0.120000 0.214286;3
marches;stairs;-;0.103448 0.250000;3
humain fondamental;Air;-;0.500000 0.088235;3
dit;actually;-;0.003175 0.107143;3
de mon;my;-;1.000000 0.000793;3
p�re a;father;-;1.000000 0.000656;3
petit;This;-;0.004196 0.002004;3
trop;much too;-;0.000752 1.000000;3
dit cela;said;-;0.500000 0.004552;3
s' il;it;-;0.096774 0.001275;3
rien;make nothing;-;0.002441 1.000000;3
tarte;wedge;-;0.008547 0.333333;3
et je;and;-;1.000000 0.000174;3
Savoir;pleased;-;0.107143 0.054545;3
sorti;raining;-;0.055556 0.062500;3
horrible;capable;-;0.037037 0.051724;3
�carta;aside;-;0.166667 0.176471;3
dois faire;do;-;0.333333 0.000737;3
non-fumeur;non-smoking section;-;0.230769 1.000000;3
exercices lui;exercises;-;0.750000 0.017341;3
�tre;not;-;0.006550 0.001207;3
�;they;-;0.000638 0.002913;3
l�-bas;hot;-;0.065217 0.001815;3
ma;of my;-;0.003254 0.500000;3
g�t�e;gone bad;-;0.200000 0.428571;3
pr�pare;making;-;0.250000 0.044118;3
donnez;give;-;0.085714 0.014706;3
un;had a;-;0.000348 0.250000;3
expr�s !;intentionally !;-;1.000000 0.500000;3
qu' elle;that;-;0.022727 0.001351;3
, ce;to;-;0.428571 0.000340;3
Je;n't do;-;0.000305 0.085714;3
Qu';intend;-;0.005190 0.033333;3
souper;makes;-;0.022901 0.034483;3
moi;me for;-;0.002107 0.333333;3
choses;much;-;0.002039 0.008929;3
Fais;'ve;-;0.021898 0.012821;3
boire;coffee;-;0.004184 0.000318;3
court tr�s;runs very;-;0.750000 1.000000;3
.;back .;-;0.000004 1.000000;3
est;her;-;0.000233 0.002994;3
chose;is;-;0.004942 0.000228;3
de l';for;-;0.037500 0.000805;3
r�serv�e;Admission;-;0.020690 0.034091;3
pagaille;responsible;-;0.130435 0.016484;3
content;invited;-;0.026549 0.055556;3
jeter;lend;-;0.200000 0.030000;3
arrivons;come;-;0.150000 0.016216;3
vu;Well;-;0.006342 0.015075;3
toit rouge;red roof;-;1.000000 0.600000;3
Laissez;let;-;0.025000 0.013575;3
nag�;swim;-;0.333333 0.003409;3
montagne;warmer;-;0.015957 0.060000;3
John;suited;-;0.005871 1.000000;3
sacs;those bags;-;0.054545 1.000000;3
langue;foreign language;-;0.005319 0.750000;3
moquent;fun;-;0.428571 0.020979;3
belles;beautiful;-;0.500000 0.013393;3
ci;useful;-;0.130435 0.018987;3
feriez;early;-;0.096774 0.003279;3
New-York;humid;-;0.062500 0.046154;3
oiseau;little bird;-;0.000732 1.000000;3
vais;'ll make;-;0.005300 0.250000;3
mal g�r�;badly managed;-;1.000000 0.085714;3
aimait;even loved;-;0.045455 1.000000;3
auparavant;him before;-;0.031250 0.428571;3
�ternellement;Humans;-;0.176471 1.000000;3
t�l�commande;couch;-;0.375000 0.375000;3
Ajoute;odour;-;0.022901 0.750000;3
divis�;parts;-;0.750000 0.107143;3
avril;April;-;0.333333 1.000000;3
l�g�res;bruising;-;1.000000 0.333333;3
certificat;attach;-;0.600000 0.600000;3
est;is too;-;0.000233 0.187500;3
tenait;standing;-;0.230769 0.066667;3
Il;run;-;0.000186 0.017045;3
es tremp�;wet through;-;0.500000 0.060000;3
go�t .;.;-;1.000000 0.000004;3
prenant;train;-;0.333333 0.016043;3
il est;is;-;0.200000 0.000228;3
est;?;-;0.000233 0.000028;3
En;care;-;0.009804 0.013514;3
horriblement froid;awfully;-;0.375000 0.017241;3
j';, I;-;0.009585 0.040541;3
Pourriez;Will;-;0.031579 0.021127;3
ce;about;-;0.001361 0.012000;3
Au;remind;-;0.017751 0.130435;3
pense;think it;-;0.002540 0.214286;3
qui;be;-;0.003676 0.002691;3
contenir;jar;-;1.000000 0.187500;3
Disposer;flashlight;-;1.000000 0.150000;3
�mancipation;regardless;-;1.000000 0.600000;3
lexie;unveil;-;1.000000 1.000000;3
moquer;pupil;-;1.000000 1.000000;3
restant;sightseeing;-;0.600000 0.428571;3
adolescence;teens;-;0.600000 1.000000;3
Producteur;Movie;-;1.000000 0.375000;3
regretteras;accepting;-;1.000000 0.333333;3
garer;hers;-;1.000000 1.000000;3
sagement;fashion;-;0.600000 0.130435;3
persan;Persian;-;1.000000 0.157895;3
flaque;puddle;-;1.000000 1.000000;3
grammaires;Omission;-;1.000000 1.000000;3
d�tes;convey;-;0.750000 0.333333;3
ind�termin�e;indefinite;-;0.500000 0.428571;3
naus�e;nauseous;-;1.000000 1.000000;3
�lite;elite;-;1.000000 1.000000;3
reconnut;admitted;-;1.000000 0.115385;3
d�licat;Cutting;-;1.000000 1.000000;3
films hollywoodiens;Hollywood;-;0.600000 0.300000;3
�coute;disc;-;0.071429 1.000000;3
effondrera;collapse;-;0.750000 0.272727;3
britannique;differs;-;0.333333 0.600000;3
automobiliste;stoplight;-;0.375000 0.142857;3
garde;toolbox;-;0.069767 0.333333;3
accord tacite;tacit understanding;-;0.750000 0.230769;3
b�b� seul;baby alone;-;0.750000 0.750000;3
que;first;-;0.000943 0.004172;3
remettre;grease;-;0.136364 0.750000;3
Avoir;flashlight;-;0.250000 0.150000;3
sonner;listened;-;0.066667 0.250000;3
Dites;return;-;0.093750 0.035714;3
passeport;letting;-;0.022388 0.071429;3
union;United;-;0.100000 0.428571;3
Baisse;radio;-;0.052632 0.007353;3
surpris;classroom;-;0.036585 0.075000;3
assez;am;-;0.003460 0.006024;3
Cela;Never;-;0.024793 0.050000;3
sortirai demain;tomorrow;-;0.750000 0.001027;3
menti;lying;-;0.017341 0.038961;3
peindre;convince;-;0.030928 0.010909;3
grossier;gentle;-;0.056604 0.107143;3
billet;ticket entitles;-;0.022556 0.600000;3
emprunter;borrow cash;-;0.019481 1.000000;3
bruler;burning;-;0.600000 0.038961;3
sommes rencontr�s;n�t;-;0.176471 0.214286;3
affreusement;appalling cook;-;0.060000 0.272727;3
chante tr�s;sings;-;0.300000 0.019108;3
puisse;so;-;0.066667 0.004559;3
�a;is;-;0.011407 0.000228;3
temps;time doing;-;0.001727 1.000000;3
y faire;to;-;1.000000 0.000340;3
s';stopped;-;0.006186 0.012245;3
moins !;understatement !;-;0.750000 1.000000;3
es;I.;-;0.023256 0.093750;3
venu;come;-;0.055556 0.016216;3
rencontr�e;met him;-;0.020408 0.051724;3
homme;man who;-;0.001418 0.750000;3
avoir;The;-;0.001817 0.000642;3
anglais .;English .;-;1.000000 1.000000;3
temps;have time;-;0.001727 1.000000;3
aujourd'hui;warm;-;0.000717 0.018072;3
Shintaro;Shintaro speaks;-;0.055556 0.375000;3
cuisinier;Thank;-;0.024194 0.013453;3
que;I 'm;-;0.000943 0.037500;3
que tu;to;-;0.029126 0.000340;3
arr�ter;give up;-;0.008219 0.300000;3
Je chante;can sing;-;1.000000 0.300000;3
Je;to do;-;0.000305 0.012876;3
m�re pr�pare;mother;-;0.500000 0.000895;3
tu;did you;-;0.000995 0.107143;3
impossible simplement;impossible;-;1.000000 0.002681;3
Il �tait;He was;-;0.375000 0.125000;3
ira;will;-;0.100000 0.007772;3
vous;would;-;0.000838 0.009901;3
ensemble;Fish;-;0.022901 0.026549;3
C';the;-;0.003750 0.000242;3
endroit;love;-;0.032609 0.011494;3
chanter;blackmailing him;-;0.009868 0.750000;3
As;already;-;0.015957 0.005725;3
lorsque j�;staying;-;1.000000 0.071429;3
savoir pourquoi;why;-;1.000000 0.004032;3
soit;may;-;0.027273 0.019737;3
temps;once;-;0.001727 0.016949;3
que;any;-;0.000943 0.022222;3
Tout va;right;-;0.065217 0.012397;3
chinois .;Chinese .;-;0.750000 1.000000;3
Parlez;Can;-;0.166667 0.006522;3
-;he;-;0.001159 0.001394;3
faits;Cheese;-;0.214286 0.050000;3
dis-le;whether;-;0.428571 0.040541;3
pleuve demain;tomorrow;-;0.428571 0.001027;3
difficile;particular about;-;0.005254 1.000000;3
boire;so;-;0.004184 0.004559;3
leur repas;their meal;-;0.600000 0.428571;3
- il;there;-;0.060000 0.005629;3
Ce;case;-;0.003589 0.001528;3
sport pendant;sports;-;1.000000 0.023810;3
Mary;Mary likes;-;0.003871 1.000000;3
aie;afraid;-;0.120000 0.005102;3
discutables;questionable things;-;0.040000 0.214286;3
Alors;Uncle;-;0.125000 0.750000;3
payer dr�lement;damn sight;-;1.000000 0.375000;3
r�ussir;entrance;-;0.136364 0.023622;3
mourut;died;-;0.166667 0.037037;3
enfoncer;intend;-;0.272727 0.033333;3
ceci;instead;-;0.157895 0.056604;3
co�t�;repaired;-;0.157895 0.013274;3
pied;takes;-;0.029126 0.042254;3
lumi�re;light off;-;0.002686 1.000000;3
Que dois;What should;-;0.166667 0.375000;3
campus hier;campus yesterday;-;1.000000 1.000000;3
bail;long;-;0.066667 0.007282;3
pommier donne;trees;-;0.600000 0.011628;3
frais;feels somewhat;-;0.008310 0.500000;3
Bien vu;Well;-;0.078947 0.015075;3
tomber Marie;Mary down;-;0.600000 1.000000;3
terriblement;am terribly;-;0.030612 0.750000;3
Que;am;-;0.006036 0.006024;3
a�n� vit;lives;-;1.000000 0.043478;3
mauvaise;cheap;-;0.066667 0.022556;3
importe quel;any;-;0.500000 0.022222;3
�a;did;-;0.011407 0.003386;3
rien manger;eat any;-;0.600000 0.600000;3
je;in;-;0.001572 0.000553;3
travail;cannot;-;0.002804 0.012146;3
pr�parer leur;prepare their;-;0.600000 0.600000;3
mangent;meadow;-;0.130435 0.250000;3
r�le important;important role;-;0.600000 1.000000;3
succ�s;harder;-;0.032609 0.053571;3
plein vol;midair;-;1.000000 0.250000;3
basse;shame;-;0.166667 0.076923;3
chanson;silly tune;-;0.019355 0.214286;3
t�l�vision;washed;-;0.011538 0.027523;3
a rien;has nothing;-;0.600000 0.214286;3
�tais;when;-;0.047619 0.003086;3
prendre;photograph;-;0.018987 1.000000;3
particip�;took part;-;0.107143 0.428571;3
